customer_id,full_name,email,last_order_date,marketing_opt_in,created_at
1,Taylor Lopez,taylor.lopez1@mail.com,2022-05-17,True,2022-07-18
2,Jordan Brown,jordan.brown2@mail.com,2024-01-22,True,2025-02-25
3,Sasha Jackson,sasha.jackson3@example.com,2021-07-11,True,2021-03-03
4,Avery Clark,avery.clark4@mail.com,2024-02-24,True,2021-02-24
5,Reese Jackson,reese.jackson5@example.com,2024-04-21,False,2023-07-09
6,Alex Davis,alex.davis6@mail.com,2022-11-28,False,2023-05-16
7,Jordan Rodriguez,jordan.rodriguez7@payguard.com,2021-07-09,False,2021-07-29
8,Taylor Anderson,taylor.anderson8@payguard.com,2022-06-26,True,2024-05-21
9,Robin Lewis,robin.lewis9@example.com,2021-06-11,False,2023-02-15
10,Shawn Anderson,shawn.anderson10@mail.com,2024-12-13,True,2022-01-29
11,Sam Miller,sam.miller11@payguard.com,2022-04-22,True,2021-06-13
12,Dana Hernandez,dana.hernandez12@payguard.com,2023-01-18,True,2024-07-25
13,Cameron Anderson,cameron.anderson13@example.com,2022-07-01,True,2024-10-04
14,Shawn Davis,shawn.davis14@mail.com,2022-05-17,True,2025-02-02
15,Robin Thomas,robin.thomas15@payguard.com,2024-11-10,True,2024-08-03
16,Chris Smith,chris.smith16@example.com,2022-10-09,False,2021-03-07
17,Morgan Garcia,morgan.garcia17@example.com,2025-01-10,False,2024-03-07
18,Drew Harris,drew.harris18@payguard.com,2023-07-29,True,2024-08-09
19,Morgan Martinez,morgan.martinez19@example.com,2024-02-24,False,2025-03-06
20,Sasha Jackson,sasha.jackson20@mail.com,2023-01-12,True,2023-03-29
21,Jordan Clark,jordan.clark21@payguard.com,2025-03-28,True,2021-07-06
22,Taylor Martinez,taylor.martinez22@mail.com,2024-10-25,False,2021-11-24
23,Shawn Garcia,shawn.garcia23@payguard.com,2024-05-05,False,2023-02-21
24,Kai Hernandez,kai.hernandez24@mail.com,2024-10-25,True,2021-01-24
25,Reese Hernandez,reese.hernandez25@mail.com,2021-08-17,False,2022-11-28
26,Sky Davis,sky.davis26@payguard.com,2025-01-18,False,2021-01-07
27,Kai Davis,kai.davis27@mail.com,2024-07-04,False,2021-08-06
28,Kai Walker,kai.walker28@example.com,2023-02-05,True,2021-11-10
29,Reese Clark,reese.clark29@example.com,2022-10-26,False,2024-05-11
30,Alex Brown,alex.brown30@payguard.com,2022-05-06,True,2022-09-22
31,Avery Lee,avery.lee31@example.com,2025-02-07,False,2021-06-25
32,Jamie Lewis,jamie.lewis32@example.com,2024-09-13,False,2021-09-20
33,Reese Davis,reese.davis33@payguard.com,2024-05-27,False,2023-12-17
